company_name,career_url,harshit_priority_score,priority_tier,profile_priority,sector,best_fit_role_families,employment_rule,generic_sales_frontline_rule,secondary_finance_score,why_it_fits_or_drop_reason,dashboard_default_visibility,dashboard_optional_group,include_in_scrape_registry,source_status,ireland_relevance_basis,evidence_status
BioMarin,https://www.biomarin.com/careers/jobs/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
CRH,https://www.crh.com/careers,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Eaton,https://eaton.wd5.myworkdayjobs.com/Eaton,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
FBD Insurance,https://www.fbd.ie/about/careers/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
FactSet,https://careers.factset.com/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Fitch Ratings,https://www.fitchratings.com/careers,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Heineken Ireland,https://www.heinekenireland.ie/careers/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Illumina,https://illumina.wd1.myworkdayjobs.com/illumina-careers,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Indeed,https://www.indeed.jobs/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Jabil,https://careers.jabil.com/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
